  Day,Month,Year,Tmax,Tmean,Tmin,RH,WS,ETo
1,1,2012,20.6,11.9,6.2,21.1,1.05,2.7
2,1,2012,21.9,12.6,6.7,22.2,0.88,2.5
3,1,2012,22.1,13.7,7.1,21.1,1.15,2.9
4,1,2012,15.8,11,6.5,27.1,1.05,2.3
5,1,2012,18.4,11.2,5.4,41.8,1.11,2.4
6,1,2012,20.5,11.6,5,60.3,1.63,2.6
7,1,2012,16.7,9,3.5,63.1,1.72,2.2
8,1,2012,17.7,9.2,2.8,49.2,2.08,2.8
9,1,2012,19.2,10.8,3.7,31.1,1.09,2.6
10,1,2012,17.9,10.6,4.8,31.1,1.28,2.6
11,1,2012,19.6,11.1,2.8,33,1.27,2.8
12,1,2012,20.9,12.3,5.1,32.1,1.25,2.9
13,1,2012,21,12.4,4.4,31.6,0.91,2.6
14,1,2012,19.5,10.6,5.7,45,1.38,2.7
15,1,2012,15.2,9.6,6.5,77.7,1.39,1.7
16,1,2012,19.4,11.8,5.6,67.4,1.54,2.4
17,1,2012,20,12.3,6.1,54.1,0.94,2.3
18,1,2012,19.2,10.7,3.5,40.9,1.23,2.7
19,1,2012,17.6,10,4.2,41.3,1.05,2.4
20,1,2012,17.3,9.4,3.1,57.3,1.3,2.3
21,1,2012,17.9,9.3,1.8,45.4,1.53,2.7
22,1,2012,18.9,11.3,5.4,37.9,1.09,2.6
23,1,2012,19.3,10.6,4.9,51.4,2.12,3.1
24,1,2012,19.3,9.9,1.9,43.4,1.81,3.1
25,1,2012,20.3,12.2,5.2,34.8,1.42,3.1
26,1,2012,21.4,11.8,4.5,39.7,1.7,3.3
27,1,2012,21.4,12.9,5.5,32,1.23,3.1
28,1,2012,21.1,12.9,4.8,27.3,1.13,3
29,1,2012,21.9,12.2,4.4,27.8,1.49,3.5
30,1,2012,21.6,12.4,4,29.1,1.21,3.1
31,1,2012,22.3,13,6.5,34.9,1.4,3.3
1,2,2012,21.9,12.9,4.9,35.8,1.47,3.4
2,2,2012,23.7,14.4,6.3,28.4,1.31,3.5
3,2,2012,19.7,13.8,10.3,41.6,1.72,3.1
4,2,2012,18.3,12.5,8.6,70.4,1.3,2.2
5,2,2012,20.4,12.5,7,65.8,2.01,2.9
6,2,2012,20.6,10,2.3,35.6,2.11,3.8
7,2,2012,19.2,8,-0.6,32.1,1.82,3.5
8,2,2012,19.3,8.3,-0.7,27.1,2.06,3.8
9,2,2012,19.8,10.5,0.7,19.3,1.48,3.5
10,2,2012,22.1,13.2,3.4,16.6,1.06,3.3
11,2,2012,19.1,11.5,4.5,29.7,1.27,3.1
12,2,2012,18.5,10.1,4.7,72.7,2.14,2.6
13,2,2012,21.1,13,8,66.2,2.06,3
14,2,2012,21.4,12,6.5,46.4,1.88,3.5
15,2,2012,21,11.1,2.7,29.8,1.91,4
16,2,2012,21.4,12.8,5.4,22.4,1.05,3.3
17,2,2012,22.1,12.1,4.1,28.1,1.64,3.9
18,2,2012,20.1,11.5,5.9,43.1,2.09,3.6
19,2,2012,22.9,14,6.5,50.3,1.66,3.6
20,2,2012,21.4,14.4,9.8,70.3,1.77,2.9
21,2,2012,24.5,16.9,11.2,66.5,1.42,3.2
22,2,2012,23,15.3,8.2,53.8,2.12,3.8
23,2,2012,22.1,11.2,2.3,33.3,1.71,4
24,2,2012,22.1,11.6,3.5,25.9,1.59,4
25,2,2012,23.5,12.7,4.3,25.1,1.64,4.3
26,2,2012,26,14.8,4.1,24.3,1.59,4.6
27,2,2012,27.3,17.2,9.7,25.3,1.4,4.5
28,2,2012,27.4,17.7,9.3,36.3,1.72,4.7
29,2,2012,28.4,18.9,10.6,24.3,0.89,3.9
1,3,2012,28.5,18.2,9.2,27.5,1.66,5
2,3,2012,28.6,18.6,9.1,25,1.28,4.6
3,3,2012,30,20.1,11.3,27.1,1.38,4.8
4,3,2012,30.6,21.4,13.9,33.5,2.29,5.8
5,3,2012,29.8,20.5,14,47.4,2.05,5
6,3,2012,29.1,18.9,9.3,23.3,1.7,5.3
7,3,2012,26.3,16.4,6.6,19.1,1.92,5.2
8,3,2012,26,16.4,7.5,21.5,1.08,4.1
9,3,2012,26.2,17.5,9,22.1,1.33,4.5
10,3,2012,26.4,16.6,8.1,18.2,1.61,4.9
11,3,2012,26.1,16.3,8.8,21.8,1.77,5
12,3,2012,26.2,16.2,10,31.6,2.61,5.6
13,3,2012,25.2,16.7,8.2,36.8,1.75,4.6
14,3,2012,24.8,17.2,9.4,26.7,1.12,4.1
15,3,2012,30.6,21,9.9,25.8,1.05,4.8
16,3,2012,30.9,22.4,13.9,22.1,1.19,4.9
17,3,2012,33.5,24,14.6,24.4,1.12,5.1
18,3,2012,35.1,24.6,15.6,25.2,1.25,5.6
19,3,2012,37.2,26.2,17,23.4,3.05,8.6
20,3,2012,25.3,17.9,11.8,11.4,3.84,7.4
21,3,2012,27.9,18.8,10.7,13.1,1.71,5.5
22,3,2012,31.6,20.9,10.2,12.2,1.5,5.8
23,3,2012,33.1,22.6,12.4,12.7,1.25,5.5
24,3,2012,34,24.2,15.2,11.3,1.47,5.9
25,3,2012,33.9,24.9,16.8,21.4,1.94,6.5
26,3,2012,33.9,25.5,18.3,31.4,1.45,5.6
27,3,2012,32.6,24.8,18.9,27.4,1.61,5.7
28,3,2012,33.3,23.3,15.3,37.9,2.48,6.7
29,3,2012,35.6,25.6,15.5,26.8,2.17,7.2
30,3,2012,38.6,28.9,18.4,18.3,1.11,5.9
31,3,2012,38.4,29.5,21.8,15.8,1.34,6.2
1,4,2012,38.5,29.1,21,16.9,1.99,7.4
2,4,2012,38.3,29.1,20.7,34.2,1.98,7.1
3,4,2012,39.7,30.4,21.8,23.9,1.51,6.7
