  Day,Month,Year,Tmax,Tmean,Tmin,RH,WS,ETo
1,1,2012,20.6,11.7,6.4,32.9,1.35,2.2
2,1,2012,20.6,13,8.8,27.6,1.2,2.1
3,1,2012,19.5,12.5,7.3,24.4,1.48,2.4
4,1,2012,17.4,10.8,7,40,1.34,1.9
5,1,2012,14.1,8.6,5,66.6,1.52,1.4
6,1,2012,14.7,8.5,3.8,72.3,1.58,1.3
7,1,2012,13.7,7.3,2.9,74.6,1.33,1.2
8,1,2012,15.1,7.1,1.5,53.8,1.84,1.8
9,1,2012,15.9,8.5,3.5,40.9,1.58,2
10,1,2012,15.6,7.2,1.6,42.7,1.81,2.1
11,1,2012,16.3,8.9,4.3,36.7,1.41,2
12,1,2012,18.9,9.8,4.2,37.8,1.59,2.3
13,1,2012,18.9,10.4,4.4,37.6,1.45,2.2
14,1,2012,16.4,9.8,4.1,59.1,1.59,1.7
15,1,2012,11.1,8.6,7,88.1,2.77,0.9
16,1,2012,16.8,10.3,4.8,69.3,1.55,1.6
17,1,2012,17.3,9.2,4.5,57.8,1.53,1.8
18,1,2012,16,8.9,2.8,49.1,1.3,1.7
19,1,2012,12.8,7.7,1.9,61.9,0.98,1.3
20,1,2012,14.5,6.9,3,53.4,1.72,1.8
21,1,2012,15.9,6.7,-0.6,45.1,1.62,2
22,1,2012,14.6,9,5.2,46.1,1.38,1.8
23,1,2012,16.6,8.2,3.8,63.9,2,1.9
24,1,2012,17.5,9.3,2.8,48.2,1.26,1.9
25,1,2012,17.7,10.3,5.2,45.5,1.22,1.9
26,1,2012,17.7,9.4,4.9,47.2,1.82,2.3
27,1,2012,16.7,9.2,4.1,44.3,1.56,2.1
28,1,2012,18.4,10.4,5.1,35.9,1.6,2.5
29,1,2012,19.3,9.8,3.2,38.2,1.97,2.8
30,1,2012,18.1,9.5,1.4,38.5,1.54,2.4
31,1,2012,18.8,11.1,7.2,42.2,1.52,2.4
1,2,2012,19.1,10.4,3.6,44.3,1.82,2.6
2,2,2012,20.7,13.5,8.4,37.8,1.4,2.5
3,2,2012,13.1,10,6.1,68.8,1.48,1.5
4,2,2012,10.6,7.7,5.2,89.1,1.53,1
5,2,2012,16.3,8.5,3.6,69,1.37,1.7
6,2,2012,16.7,7.9,2.2,54.2,1.82,2.2
7,2,2012,16.4,7.2,1,46,1.62,2.3
8,2,2012,16.7,8.9,3.3,39.2,1.99,2.7
9,2,2012,16.1,8.2,1.9,38.4,1.94,2.6
10,2,2012,18.8,10.6,4.5,34.4,1.77,2.9
11,2,2012,19.3,11.1,6.4,46.8,1.34,2.4
12,2,2012,15.2,8.3,4.1,74,1.32,1.6
13,2,2012,14.6,8.4,4.1,78.4,1.51,1.6
14,2,2012,17.1,8.5,2.9,59.8,1.87,2.3
15,2,2012,17.9,8.7,1.2,40.4,2.13,3
16,2,2012,17.3,9.8,4.2,41.8,1.41,2.4
17,2,2012,15.8,9,3.1,48.2,1.39,2.2
18,2,2012,17.7,10.8,6.3,51.1,1.42,2.3
